UUID        = 519c7bb4-12b7-4e68-9969-0fee9bf71ebb
ScanDate    = 20190813_152131
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     22156876     PULS   2168 
     22156878     PULS   2160 
     22156880     PULS   2153 
     22156882     PULS   2144 
     22156884     PULS   2135 
     22156886     PULS   2128 
     22156888     PULS   2119 
     22156890     PULS   2112 
     22156892     PULS   2105 
     22156894     PULS   2102 
     22156896     PULS   2098 
     22156898     PULS   2093 
     22156900     PULS   2091 
     22156902     PULS   2088 
     22156904     PULS   2084 
     22156906     PULS   2081 
     22156908     PULS   2077 
     22156910     PULS   2076 
     22156912     PULS   2070 
     22156914     PULS   2067 
     22156916     PULS   2063 
     22156918     PULS   2056 
     22156920     PULS   2051 
     22156924     PULS   2041 
     22156926     PULS   2034 
     22156928     PULS   2023 
     22156930     PULS   2014 
     22156932     PULS   2004 
     22156934     PULS   1993 
     22156936     PULS   1981 
     22156938     PULS   1969 
     22156940     PULS   1957 
     22156942     PULS   1943 
     22156944     PULS   1930 
     22156946     PULS   1918 
     22156948     PULS   1906 
     22156950     PULS   1895 
     22156952     PULS   1881 
     22156954     PULS   1871 
     22156956     PULS   1859 
     22156958     PULS   1846 
     22156960     PULS   1834 
     22156962     PULS   1825 
     22156964     PULS   1813 
     22156966     PULS   1804 
     22156968     PULS   1796 
     22156970     PULS   1789 
     22156972     PULS   1778 
     22156974     PULS   1771 
     22156976     PULS   1766 
